OP_ID,OP_DATE,TIME,YEAR,VESSEL,SERIAL,CRUISE,LOCATION,IP_DESIGN,LATITUDE,LONGITUDE,END_LATITUDE,END_LONGITUDE,BEG_LATITUDE_DD,BEG_LONGITUDE_DD,END_LATITUDE_DD,END_LONGITUDE_DD,BEG_DEPTH,END_DEPTH,FISHING_DEPTH,DEPTH_UNITS,SURF_TEMP,FISHING_TEMP,TOW_TIME,DISTANCE,SPECIES,N
88059,19-May-14,1256,2014,25,500,1,86,3,4650.66,9043.72,4650.35,9043.44,46.844333,-90.728667,46.839167,-90.724,33.9,46.6,0.5,2,2,2,10,0.45,0,0
88060,19-May-14,1256,2014,25,501,1,86,3,4650.66,9043.72,4650.35,9043.44,46.844333,-90.728667,46.839167,-90.724,33.9,46.6,0.5,2,2,2,10,0.45,0,0
88061,20-May-14,1320,2014,25,502,1,52,3,4658.98,9027.28,4658.6,9027.21,46.983,-90.454667,46.976667,-90.4535,18.6,35.5,0.5,2,1.8,1.8,10,0.47,0,0
88062,20-May-14,1320,2014,25,503,1,52,3,4658.98,9027.28,4658.6,9027.21,46.983,-90.454667,46.976667,-90.4535,18.6,35.5,0.5,2,1.8,1.8,10,0.47,0,0
88065,27-May-14,1041,2014,25,508,1,2,3,4654.94,9033.71,4654.56,9033.87,46.915667,-90.561833,46.909333,-90.5645,28.6,48.7,0.4,2,2.9,2.9,10,0.45,217,81
88066,27-May-14,1041,2014,25,509,1,2,3,4654.94,9033.71,4654.56,9033.87,46.915667,-90.561833,46.909333,-90.5645,28.6,48.7,0.4,2,2.9,2.9,10,0.45,217,52
88067,27-May-14,1246,2014,25,510,1,87,3,4656.14,9038.79,4656.48,9038.97,46.935667,-90.6465,46.941333,-90.6495,30.8,55,0.5,2,3.4,3.4,10,0.42,0,0
88068,27-May-14,1246,2014,25,511,1,87,3,4656.14,9038.79,4656.48,9038.97,46.935667,-90.6465,46.941333,-90.6495,30.8,55,0.5,2,3.4,3.4,10,0.42,0,0
88069,27-May-14,1727,2014,25,512,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,26.1,43.8,0.5,2,2.2,2.2,10,0.45,217,13
88069,27-May-14,1727,2014,25,512,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,26.1,43.8,0.5,2,2.2,2.2,10,0.45,310,1
88070,27-May-14,1727,2014,25,513,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,26.1,43.8,0.5,2,2.2,2.2,10,0.45,217,5
88078,29-May-14,748,2014,25,518,1,210,3,4643.56,9201.44,4643.79,9200.99,46.726,-92.024,46.729833,-92.0165,16.2,18.9,0.5,2,2,2,10,0.43,217,29
88079,29-May-14,748,2014,25,519,1,210,3,4643.56,9201.44,4643.79,9200.99,46.726,-92.024,46.729833,-92.0165,16.2,18.9,0.5,2,2,2,10,0.43,217,44
88080,29-May-14,1020,2014,25,520,1,206,3,4646.28,9137.58,4646.63,9137.77,46.771333,-91.626333,46.777167,-91.6295,27.2,37.1,0.5,2,3,3,10,0.43,217,12
88081,29-May-14,1020,2014,25,521,1,206,3,4646.28,9137.58,4646.63,9137.77,46.771333,-91.626333,46.777167,-91.6295,27.2,37.1,0.5,2,3,3,10,0.43,217,5
88082,29-May-14,1217,2014,25,522,1,205,3,4648.56,9124.79,4648.93,9125.01,46.809333,-91.413167,46.8155,-91.416833,24.2,33,0.5,2,2.5,2.5,10,0.43,0,0
88083,29-May-14,1217,2014,25,523,1,205,3,4648.56,9124.79,4648.93,9125.01,46.809333,-91.413167,46.8155,-91.416833,24.2,33,0.5,2,2.5,2.5,10,0.43,0,0
