OP_ID,OP_DATE,TIME,TARGET,SERIAL,LOCATION,M_UNIT,STATE,BEG_LATITUDE_DD,BEG_LONGITUDE_DD,END_LATITUDE_DD,END_LONGITUDE_DD,IP_DESIGN,NET_MESH,TOW_TIME,DISTANCE,SPEED,SPEED_UNIT,TYPE_SET,BEG_DEPTH,END_DEPTH,FISHING_DEPTH,FISHING_TEMP,BEG_FLOWMETER,END_FLOWMETER,LIFE_STAGE,SPECIES,N,WEIGHT
88059,19-May-14,1256,2,500,86,WI2  ,WI ,46.844333,-90.728667,46.839167,-90.724,3,500,10,0.45,2.7,1,4,33.9,46.6,0.5,2,0,0,0,0,0,
88060,19-May-14,1256,2,501,86,WI2  ,WI ,46.844333,-90.728667,46.839167,-90.724,3,500,10,0.45,2.7,1,4,33.9,46.6,0.5,2,0,0,0,0,0,
88061,20-May-14,1320,2,502,52,WI2  ,WI ,46.983,-90.454667,46.976667,-90.4535,3,500,10,0.47,2.8,1,4,18.6,35.5,0.5,1.8,0,0,0,0,0,
88062,20-May-14,1320,2,503,52,WI2  ,WI ,46.983,-90.454667,46.976667,-90.4535,3,500,10,0.47,2.8,1,4,18.6,35.5,0.5,1.8,0,0,0,0,0,
88065,27-May-14,1041,2,508,2,WI2  ,WI ,46.915667,-90.561833,46.909333,-90.5645,3,500,10,0.45,2.7,1,4,28.6,48.7,0.5,2.9,,27279,12,217,81,0.2968
88066,27-May-14,1041,2,509,2,WI2  ,WI ,46.915667,-90.561833,46.909333,-90.5645,3,500,10,0.45,2.7,1,4,28.6,48.7,0.5,2.9,,27279,12,217,52,0.185
88067,27-May-14,1246,2,510,87,WI2  ,WI ,46.935667,-90.6465,46.941333,-90.6495,3,500,10,0.42,2.5,1,4,30.8,55,0.5,3.4,27279,29927,6,0,0,
88068,27-May-14,1246,2,511,87,WI2  ,WI ,46.935667,-90.6465,46.941333,-90.6495,3,500,10,0.42,2.5,1,4,30.8,55,0.5,3.4,27279,29927,6,0,0,
88069,27-May-14,1727,2,512,190,MN2  ,MN ,47.630167,-90.705333,47.625167,-90.711667,3,500,10,0.45,2.7,1,4,26.1,43.8,0.5,2.2,29927,32948,12,217,13,0.0813
88069,27-May-14,1727,2,512,190,MN2  ,MN ,47.630167,-90.705333,47.625167,-90.711667,3,500,10,0.45,2.7,1,4,26.1,43.8,0.5,2.2,29927,32948,12,310,1,0.111
