OP_ID,GN_EFFORT_ID,OP_DATE,MESH_SIZE,BEG_DEPTH,END_DEPTH,LAT,LON,NIGHTS_OUT,N.PANEL
100828,43133,1930-10-23,23,60.4,60.4,42.1306,-86.7028,8,1
100829,43134,1930-10-23,24,60.4,60.4,42.1306,-86.7028,8,1
100830,43135,1930-10-23,25,60.4,60.4,42.1306,-86.7028,8,1
100831,43136,1930-10-23,26,60.4,60.4,42.1306,-86.7028,8,1
100832,43137,1930-10-23,30,60.4,60.4,42.1306,-86.7028,8,1
100834,43139,1930-10-23,24,80.5,80.5,42.1417,-86.9236,8,1
100833,43138,1930-10-23,23,80.5,80.5,42.1417,-86.9236,8,1
100835,43140,1930-10-23,25,80.5,80.5,42.1417,-86.9236,8,1
100836,43141,1930-10-23,26,80.5,80.5,42.1417,-86.9236,8,1
100837,43142,1930-10-23,30,80.5,80.5,42.1417,-86.9236,8,1
99627,43386,1931-06-18,26,51.2,54.9,42.2867,-86.6,9,1
99624,43383,1931-06-18,23,51.2,54.9,42.2867,-86.6,9,1
99625,43384,1931-06-18,24,51.2,54.9,42.2867,-86.6,9,1
99626,43385,1931-06-18,25,51.2,54.9,42.2867,-86.6,9,1
99628,43387,1931-06-18,30,51.2,54.9,42.2867,-86.6,9,1
99702,43448,1931-07-01,23,51.2,54.9,42.2867,-86.6,13,1
99703,43449,1931-07-01,24,51.2,54.9,42.2867,-86.6,13,1
99704,43450,1931-07-01,25,51.2,54.9,42.2867,-86.6,13,1
99705,43451,1931-07-01,26,51.2,54.9,42.2867,-86.6,13,1
99706,43452,1931-07-01,30,51.2,54.9,42.2867,-86.6,13,1
100926,43208,1931-05-12,23,54.9,60.4,42.2917,-86.62,11,2
100927,43209,1931-05-12,24,54.9,60.4,42.2917,-86.62,11,2
100928,43210,1931-05-12,25,54.9,60.4,42.2917,-86.62,11,2
100929,43211,1931-05-12,26,54.9,60.4,42.2917,-86.62,11,2
100930,43212,1931-05-12,30,54.9,60.4,42.2917,-86.62,11,2
100997,43268,1931-05-27,23,55.8,60.4,42.2917,-86.62,15,1
100998,43269,1931-05-27,24,55.8,60.4,42.2917,-86.62,15,1
100999,43270,1931-05-27,25,55.8,60.4,42.2917,-86.62,15,1
101000,43271,1931-05-27,26,55.8,60.4,42.2917,-86.62,15,1
101001,43272,1931-05-27,30,55.8,60.4,42.2917,-86.62,15,1
101064,43323,1931-06-09,23,55.8,60.4,42.2917,-86.62,13,1
101065,43324,1931-06-09,24,55.8,60.4,42.2917,-86.62,13,1
101066,43325,1931-06-09,25,55.8,60.4,42.2917,-86.62,13,1
101067,43326,1931-06-09,26,55.8,60.4,42.2917,-86.62,13,1
101068,43327,1931-06-09,30,55.8,60.4,42.2917,-86.62,13,1
101057,43318,1931-06-08,23,82.3,84.1,42.2933,-87.4,13,2
100990,43263,1931-05-26,23,82.3,84.1,42.2933,-87.4,15,2
100991,43264,1931-05-26,24,82.3,84.1,42.2933,-87.4,15,2
100992,43265,1931-05-26,25,82.3,84.1,42.2933,-87.4,15,2
100993,43266,1931-05-26,26,82.3,84.1,42.2933,-87.4,15,2
100994,43267,1931-05-26,30,82.3,84.1,42.2933,-87.4,15,2
101058,43319,1931-06-08,24,82.3,84.1,42.2933,-87.4,13,2
101059,43320,1931-06-08,25,82.3,84.1,42.2933,-87.4,13,2
101060,43321,1931-06-08,26,82.3,84.1,42.2933,-87.4,13,2
101061,43322,1931-06-08,30,82.3,84.1,42.2933,-87.4,13,2
99617,43378,1931-06-16,23,82.3,84.1,42.2933,-87.4,8,2
99618,43379,1931-06-16,24,82.3,84.1,42.2933,-87.4,8,2
99619,43380,1931-06-16,25,82.3,84.1,42.2933,-87.4,8,2
99620,43381,1931-06-16,26,82.3,84.1,42.2933,-87.4,8,2
99621,43382,1931-06-16,30,82.3,84.1,42.2933,-87.4,8,2
99697,43443,1931-06-30,23,82.3,84.1,42.2933,-87.4,14,2
99698,43444,1931-06-30,24,82.3,84.1,42.2933,-87.4,14,2
99699,43445,1931-06-30,25,82.3,84.1,42.2933,-87.4,14,2
99700,43446,1931-06-30,26,82.3,84.1,42.2933,-87.4,14,2
99701,43447,1931-06-30,30,82.3,84.1,42.2933,-87.4,14,2
99615,43376,1931-06-16,26,49.4,54.9,42.3267,-87.63,8,2
100985,43258,1931-05-26,23,49.4,54.9,42.3267,-87.63,15,2
100986,43259,1931-05-26,24,49.4,54.9,42.3267,-87.63,15,2
100987,43260,1931-05-26,25,49.4,54.9,42.3267,-87.63,15,2
100988,43261,1931-05-26,26,49.4,54.9,42.3267,-87.63,15,2
100989,43262,1931-05-26,30,49.4,54.9,42.3267,-87.63,15,2
101052,43313,1931-06-08,23,49.4,54.9,42.3267,-87.63,13,2
101053,43314,1931-06-08,24,49.4,54.9,42.3267,-87.63,13,2
101054,43315,1931-06-08,25,49.4,54.9,42.3267,-87.63,13,2
101055,43316,1931-06-08,26,49.4,54.9,42.3267,-87.63,13,2
101056,43317,1931-06-08,30,49.4,54.9,42.3267,-87.63,13,2
99612,43373,1931-06-16,23,49.4,54.9,42.3267,-87.63,8,2
99613,43374,1931-06-16,24,49.4,54.9,42.3267,-87.63,8,2
99614,43375,1931-06-16,25,49.4,54.9,42.3267,-87.63,8,2
99616,43377,1931-06-16,30,49.4,54.9,42.3267,-87.63,8,2
99692,43438,1931-06-30,23,49.4,54.9,42.3267,-87.63,14,2
99693,43439,1931-06-30,24,49.4,54.9,42.3267,-87.63,14,2
99694,43440,1931-06-30,25,49.4,54.9,42.3267,-87.63,14,2
99695,43441,1931-06-30,26,49.4,54.9,42.3267,-87.63,14,2
99696,43442,1931-06-30,30,49.4,54.9,42.3267,-87.63,14,2
100868,43167,1930-11-11,30,29.3,31.1,42.375,-87.6972,1,1
100864,43163,1930-11-11,23,29.3,31.1,42.375,-87.6972,1,1
100865,43164,1930-11-11,24,29.3,31.1,42.375,-87.6972,1,1
100866,43165,1930-11-11,25,29.3,31.1,42.375,-87.6972,1,1
100867,43166,1930-11-11,26,29.3,31.1,42.375,-87.6972,1,1
100933,43215,1931-05-12,25,83.2,87.8,42.3833,-86.7017,11,2
100931,43213,1931-05-12,23,83.2,87.8,42.3833,-86.7017,11,2
100932,43214,1931-05-12,24,83.2,87.8,42.3833,-86.7017,11,2
100934,43216,1931-05-12,26,83.2,87.8,42.3833,-86.7017,11,2
100935,43217,1931-05-12,30,83.2,87.8,42.3833,-86.7017,11,2
101069,43328,1931-06-09,23,86.9,87.8,42.3867,-86.7167,13,1
101002,43273,1931-05-27,23,86.9,87.8,42.3867,-86.7167,15,1
101003,43274,1931-05-27,24,86.9,87.8,42.3867,-86.7167,15,1
101004,43275,1931-05-27,25,86.9,87.8,42.3867,-86.7167,15,1
101005,43276,1931-05-27,26,86.9,87.8,42.3867,-86.7167,15,1
101006,43277,1931-05-27,30,86.9,87.8,42.3867,-86.7167,15,1
101070,43329,1931-06-09,24,86.9,87.8,42.3867,-86.7167,13,1
101071,43330,1931-06-09,25,86.9,87.8,42.3867,-86.7167,13,1
101072,43331,1931-06-09,26,86.9,87.8,42.3867,-86.7167,13,1
101073,43332,1931-06-09,30,86.9,87.8,42.3867,-86.7167,13,1
99629,43388,1931-06-18,23,86.9,91.4,42.3867,-86.7167,9,2
