OP_ID,OP_DATE,TIME,YEAR,VESSEL,SERIAL,CRUISE,LOCATION,IP_DESIGN,LATITUDE,LONGITUDE,END_LATITUDE,END_LONGITUDE,BEG_LATITUDE_DD,BEG_LONGITUDE_DD,END_LATITUDE_DD,END_LONGITUDE_DD,DIST_SHORE_M,BEG_DEPTH,END_DEPTH,FISHING_DEPTH,DEPTH_UNITS,BUCKET_TEMP,SEABIRD_TEMP,SEABIRD_CHL,SEABIRD_BEAM,TOW_TIME,DISTANCE,SPECIES,FISH
88059,19-May-14,1256,2014,25,500,1,86,3,4650.66,9043.72,4650.35,9043.44,46.844333,-90.728667,46.839167,-90.724,365.9349888,33.9,46.6,0.5,2,2,2.37985,-0.21995,57.58855,10,0.45,0,0
88060,19-May-14,1256,2014,25,501,1,86,3,4650.66,9043.72,4650.35,9043.44,46.844333,-90.728667,46.839167,-90.724,365.9349888,33.9,46.6,0.5,2,2,2.37985,-0.21995,57.58855,10,0.45,0,0
88061,20-May-14,1320,2014,25,502,1,52,3,4658.98,9027.28,4658.6,9027.21,46.983,-90.454667,46.976667,-90.4535,1238.123083,18.6,35.5,0.5,2,1.8,1.9788,0.2037,89.28335,10,0.47,0,0
88062,20-May-14,1320,2014,25,503,1,52,3,4658.98,9027.28,4658.6,9027.21,46.983,-90.454667,46.976667,-90.4535,1238.123083,18.6,35.5,0.5,2,1.8,1.9788,0.2037,89.28335,10,0.47,0,0
88236,21-May-14,1019,2014,25,504,1,111,3,4639.354,9053.918,4639.34,9053.94,46.6559,-90.898633,46.655667,-90.899,,27,24.3,0.5,2,,,,,10,0.5,0,0
88237,21-May-14,1019,2014,25,505,1,111,3,4639.354,9053.918,4639.34,9053.94,46.6559,-90.898633,46.655667,-90.899,,27,24.3,0.5,2,,,,,10,0.5,0,0
88238,21-May-14,1104,2014,25,506,1,145,3,4635.55,9054.15,4635.81,9053.73,46.5925,-90.9025,46.596833,-90.8955,,13.8,17.7,0.5,2,9.1,,,,10,0.43,0,0
88239,21-May-14,1104,2014,25,507,1,145,3,4635.55,9054.15,4635.81,9053.73,46.5925,-90.9025,46.596833,-90.8955,,13.8,17.7,0.5,2,9.1,,,,10,0.43,0,0
88065,27-May-14,1041,2014,25,508,1,2,3,4654.94,9033.71,4654.56,9033.87,46.915667,-90.561833,46.909333,-90.5645,500.9831527,28.6,48.7,0.4,2,2.9,3.12745,0.1857,83.91815,10,0.45,217,81
88066,27-May-14,1041,2014,25,509,1,2,3,4654.94,9033.71,4654.56,9033.87,46.915667,-90.561833,46.909333,-90.5645,500.9831527,28.6,48.7,0.4,2,2.9,3.12745,0.1857,83.91815,10,0.45,217,52
88067,27-May-14,1246,2014,25,510,1,87,3,4656.14,9038.79,4656.48,9038.97,46.935667,-90.6465,46.941333,-90.6495,171.7859284,30.8,55,0.5,2,3.4,3.3893,0.1827,85.75785,10,0.42,0,0
88068,27-May-14,1246,2014,25,511,1,87,3,4656.14,9038.79,4656.48,9038.97,46.935667,-90.6465,46.941333,-90.6495,171.7859284,30.8,55,0.5,2,3.4,3.3893,0.1827,85.75785,10,0.42,0,0
88069,27-May-14,1727,2014,25,512,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,603.3176063,26.1,43.8,0.5,2,2.2,2.4522,0.2191,90.6493,10,0.45,217,13
88069,27-May-14,1727,2014,25,512,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,603.3176063,26.1,43.8,0.5,2,2.2,2.4522,0.2191,90.6493,10,0.45,310,1
88070,27-May-14,1727,2014,25,513,1,190,3,4737.81,9042.32,4737.51,9042.7,47.630167,-90.705333,47.625167,-90.711667,603.3176063,26.1,43.8,0.5,2,2.2,2.4522,0.2191,90.6493,10,0.45,217,5
88240,28-May-14,1202,2014,25,514,1,226,3,4716.59,9115.21,4716.26,9115.46,47.2765,-91.2535,47.271,-91.257667,,110,121,0.5,2,2,,,,10,0.4,217,8
88241,28-May-14,1202,2014,25,515,1,226,3,4716.59,9115.21,4716.26,9115.46,47.2765,-91.2535,47.271,-91.257667,,110,121,0.5,2,2,,,,10,0.4,217,5
88241,28-May-14,1202,2014,25,515,1,226,3,4716.59,9115.21,4716.26,9115.46,47.2765,-91.2535,47.271,-91.257667,,110,121,0.5,2,2,,,,10,0.4,310,1
88242,28-May-14,1730,2014,25,516,1,367,3,4648.71,9202.38,4648.52,9202.8,46.811833,-92.039667,46.808667,-92.046667,7637.306568,25,23,0.5,2,2.6,,,,10,0.4,217,5
88243,28-May-14,1730,2014,25,517,1,367,3,4648.71,9202.38,4648.52,9202.8,46.811833,-92.039667,46.808667,-92.046667,7637.306568,25,23,0.8,2,2.6,,,,10,0.4,217,10
88078,29-May-14,748,2014,25,518,1,210,3,4643.56,9201.44,4643.79,9200.99,46.726,-92.024,46.729833,-92.0165,1160.905232,16.2,18.9,0.5,2,2,2.5894,0.67,75.44295,10,0.43,217,29
88079,29-May-14,748,2014,25,519,1,210,3,4643.56,9201.44,4643.79,9200.99,46.726,-92.024,46.729833,-92.0165,1160.905232,16.2,18.9,0.5,2,2,2.5894,0.67,75.44295,10,0.43,217,44
88080,29-May-14,1020,2014,25,520,1,206,3,4646.28,9137.58,4646.63,9137.77,46.771333,-91.626333,46.777167,-91.6295,2834.105856,27.2,37.1,0.5,2,3,3.25605,0.3902,54.11145,10,0.43,217,12
88081,29-May-14,1020,2014,25,521,1,206,3,4646.28,9137.58,4646.63,9137.77,46.771333,-91.626333,46.777167,-91.6295,2834.105856,27.2,37.1,0.5,2,3,3.25605,0.3902,54.11145,10,0.43,217,5
88082,29-May-14,1217,2014,25,522,1,205,3,4648.56,9124.79,4648.93,9125.01,46.809333,-91.413167,46.8155,-91.416833,1605.810983,24.2,33,0.5,2,2.5,2.68395,0.20235,86.42545,10,0.43,0,0
88083,29-May-14,1217,2014,25,523,1,205,3,4648.56,9124.79,4648.93,9125.01,46.809333,-91.413167,46.8155,-91.416833,1605.810983,24.2,33,0.5,2,2.5,2.68395,0.20235,86.42545,10,0.43,0,0
88090,30-May-14,1050,2014,25,524,1,151,3,4652.79,9112.56,4653.1,9112.91,46.879833,-91.209333,46.885,-91.215167,852.9895516,20.9,52.8,0.5,2,2.3,2.57855,0.1576,88.6393,10,0.45,0,0
88091,30-May-14,1050,2014,25,525,1,151,3,4652.79,9112.56,4653.1,9112.91,46.879833,-91.209333,46.885,-91.215167,852.9895516,20.9,52.8,0.5,2,2.3,2.57855,0.1576,88.6393,10,0.45,0,0
88092,30-May-14,1219,2014,25,526,1,76,3,4653.15,9105.79,4653.44,9106.13,46.885833,-91.0965,46.890667,-91.102167,465.721669,23.6,34.6,0.5,2,7.9,5.70535,0.1703,83.90955,10,0.42,217,26
88093,30-May-14,1219,2014,25,527,1,76,3,4653.15,9105.79,4653.44,9106.13,46.885833,-91.0965,46.890667,-91.102167,465.721669,23.6,34.6,0.5,2,7.9,5.70535,0.1703,83.90955,10,0.42,217,36
88093,30-May-14,1219,2014,25,527,1,76,3,4653.15,9105.79,4653.44,9106.13,46.885833,-91.0965,46.890667,-91.102167,465.721669,23.6,34.6,0.5,2,7.9,5.70535,0.1703,83.90955,10,0.42,500,3
88094,30-May-14,1356,2014,25,528,1,139,3,4658.18,9059.76,4658.24,9000.3,46.969667,-90.996,46.970667,-90.005,1020.47769,20.6,30.1,0.5,2,8.5,6.45155,0.14475,83.4791,10,0.42,217,7
88095,30-May-14,1356,2014,25,529,1,139,3,4658.18,9059.76,4658.24,9000.3,46.969667,-90.996,46.970667,-90.005,1020.47769,20.6,30.1,0.5,2,8.5,6.45155,0.14475,83.4791,10,0.42,217,1
